id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,banger
3q8laQ5NGEkh4vrW9Pq7ym,0.0028,0.795,0.609,0.713,4,0.0766,-11.58,0.0787,0
6PBgpQy7IHFW7hwry8Vm8S,0.0496,0.794,0.891,0.918,1,0.355,-5.747,0.0766,1
1ICbO3UPuKIHdEVfVvk3Lj,0.00529,0.519,0.982,0.134,9,0.297,-5.386,0.0412,1
15zq93V9Hao11448S09Q9V,0.451,0.527,0.806,0.000131,2,0.112,-5.354,0.0329,0
1xR4bVKbGZsGjK2A7vSCQl,0.0181,0.648,0.801,0.627,7,0.288,-9.445,0.0664,0
2ttMM2KyeY2AHRZsnCBUiW,0.0659,0.697,0.766,0.0,1,0.0862,-4.143,0.0346,1
0KMTAweuxZq0P57HvewjNT,0.00376,0.649,0.787,0.904,4,0.0745,-7.133,0.0368,0
3xh7fnebgtuFWSM4zMSRFu,0.0148,0.815,0.516,0.818,0,0.274,-12.273,0.0388,0
7HBmT2RUf4AlKq7O7sR0Cz,0.0956,0.764,0.842,0.101,10,0.0802,-4.618,0.112,1
363XjAtmCxVPmm5U0hbyid,0.287,0.639,0.939,7.22e-06,3,0.0863,-3.127,0.0517,1
5UHaN08j6L4If6jJqrNtEc,0.483,0.663,0.855,1.54e-06,3,0.165,-4.517,0.032,0
7ILMqwo5nRshPbI9Ncikku,0.00052,0.571,0.94,0.856,10,0.0952,-5.086,0.0795,1
1VRFc8sqG9R62LFZurEPnU,0.00322,0.691,0.849,0.668,10,0.145,-6.508,0.0425,0
2Hi3JLcnElNsRWn6t0aDYV,0.374,0.861,0.808,0.021,0,0.0756,-4.061,0.0584,0
5aHF3s4XVrdJPF78fJTJV8,0.414,0.6,0.885,8.13e-06,2,0.323,-3.733,0.0399,1
1t3zaQDzzYGA6v6zP3A6qG,4.05e-05,0.524,0.978,0.811,2,0.285,-8.984,0.0313,0
0T8LpGjJhJPxOktYemDwKD,8.95e-05,0.754,0.928,0.675,7,0.0765,-3.054,0.178,1
5UvISchlx3vvmCO36lskUP,0.000561,0.566,0.909,0.899,9,0.543,-8.38,0.0407,0
5JdMgiarGPn2E44MlVHn3o,0.0477,0.784,0.893,0.516,11,0.327,-9.732,0.0672,0
5v7VVB7RhP0Uv7tEhlGApl,0.0133,0.604,0.973,0.0522,7,0.148,-3.177,0.0966,0
1Z3q6qKnzHkDhDHK9ebAdV,0.0384,0.785,0.677,0.00155,1,0.133,-7.885,0.468,0
3qNAEcsv3Ibk0XrlL1wHPb,0.319,0.711,0.813,0.000175,4,0.323,-3.78,0.0406,0
7EUrNf3FNDwVo35Wo6ScDd,0.00259,0.714,0.927,0.688,4,0.967,-3.111,0.475,1
5VVsPFELjo0C9sHKGelER4,0.698,0.72,0.7,0.0,7,0.0473,-3.949,0.034,0
5kqqNqSW5aCsi87xf3VpOc,0.0209,0.791,0.975,0.919,1,0.133,-4.314,0.0897,1
0vliyiuWFxjG8N8XLbP78b,0.00325,0.506,0.823,0.883,2,0.148,-6.987,0.0363,0
5qvhDfXRBB75XkSd25w5AP,0.0201,0.687,0.689,0.425,6,0.394,-6.411,0.0942,0
610iaRbfeEmSXL10xQVbEs,0.00844,0.601,0.746,0.173,9,0.105,-5.843,0.0469,0
5Xx7QqvLBnlaOuLL8qG1Cq,0.347,0.495,0.948,0.479,3,0.184,-6.344,0.0527,0
7oixn1gMKqmvS07BS0XtUx,3.99e-05,0.712,0.717,0.749,0,0.335,-12.964,0.0484,0
23hmnzrENax0Yjler5gsx4,2.04e-05,0.594,0.929,0.863,2,0.0246,-8.84,0.0468,0
7KQ6fkHmjlVkMST3lPIYES,0.000526,0.592,0.853,0.917,1,0.0515,-7.529,0.0294,1
4bU3W26HaZngeOT9grXElF,0.0277,0.678,0.826,0.858,5,0.143,-4.382,0.0424,1
1CxQGjTg1vAVDaIbQXysc1,0.563,0.572,0.815,0.0,9,0.188,-4.437,0.0399,0
2BAA7APNwJ3yPLqbqVOnoH,0.394,0.623,0.768,0.812,6,0.116,-6.467,0.0309,0
3iCov6tknyIrDPYmmGpibn,5.27e-05,0.702,0.92,0.916,10,0.613,-5.087,0.084,1
5l3d7Bjt6NCAYPqoo40uHq,0.0364,0.775,0.616,0.709,1,0.0901,-4.775,0.0488,0
6DCpVPbpWlXhpVFSxyawRQ,0.247,0.592,0.76,0.0504,4,0.114,-5.538,0.0288,1
1tkfExIhQtauwkufxfKAUW,0.613,0.537,0.819,0.0,6,0.1,-2.473,0.0311,1
4VnJ0lIku6sNedS6zIZlB8,0.0098,0.624,0.982,0.801,7,0.348,-3.036,0.0855,1
